system:time_start,Yanco,Sturt_Plains
"Jan 1, 2011",4,6
"Jan 5, 2011",3,4
"Jan 9, 2011",4,2
"Jan 13, 2011",5,5
"Jan 17, 2011",5,4
"Jan 21, 2011",6,7
"Jan 25, 2011",6,7
"Jan 29, 2011",5,8
"Feb 2, 2011",5,8
"Feb 6, 2011",5,8
"Feb 10, 2011",7,3
"Feb 14, 2011",9,14
"Feb 18, 2011",7,10
"Feb 22, 2011",10,9
"Feb 26, 2011",9,8
"Mar 2, 2011",10,2
"Mar 6, 2011",9,5
"Mar 10, 2011",11,2
"Mar 14, 2011",10,8
"Mar 18, 2011",10,9
"Mar 22, 2011",10,10
"Mar 26, 2011",11,7
"Mar 30, 2011",6,4
"Apr 3, 2011",9,9
"Apr 7, 2011",6,8
"Apr 11, 2011",6,8
"Apr 15, 2011",8,11
"Apr 19, 2011",7,10
"Apr 23, 2011",6,9
"Apr 27, 2011",5,8
"May 1, 2011",5,9
"May 5, 2011",5,9
"May 9, 2011",5,8
"May 13, 2011",5,8
"May 17, 2011",5,8
"May 21, 2011",4,6
"May 25, 2011",4,7
"May 29, 2011",4,7
"Jun 2, 2011",5,8
"Jun 6, 2011",4,7
"Jun 10, 2011",5,8
"Jun 14, 2011",5,7
"Jun 18, 2011",2,7
"Jun 22, 2011",5,7
"Jun 26, 2011",4,7
"Jun 30, 2011",4,7
"Jul 4, 2011",5,7
"Jul 8, 2011",3,7
"Jul 12, 2011",3,7
"Jul 16, 2011",2,6
"Jul 20, 2011",5,7
"Jul 24, 2011",4,7
"Jul 28, 2011",3,6
"Aug 1, 2011",4,5
"Aug 5, 2011",5,5
"Aug 9, 2011",5,5
"Aug 13, 2011",5,5
"Aug 17, 2011",5,5
"Aug 21, 2011",5,5
"Aug 25, 2011",5,5
"Aug 29, 2011",5,4
"Sep 2, 2011",5,5
"Sep 6, 2011",6,5
"Sep 10, 2011",6,5
"Sep 14, 2011",6,4
"Sep 18, 2011",6,5
"Sep 22, 2011",6,5
"Sep 26, 2011",5,4
"Sep 30, 2011",3,4
"Oct 4, 2011",4,5
"Oct 8, 2011",5,5
"Oct 12, 2011",7,4
"Oct 16, 2011",7,6
"Oct 20, 2011",7,4
"Oct 24, 2011",8,5
"Oct 28, 2011",6,4
"Nov 1, 2011",5,5
"Nov 5, 2011",5,4
"Nov 9, 2011",5,5
"Nov 13, 2011",3,5
"Nov 17, 2011",5,9
"Nov 21, 2011",4,6
"Nov 25, 2011",3,7
"Nov 29, 2011",5,8
"Dec 3, 2011",4,8
"Dec 7, 2011",3,7
"Dec 11, 2011",3,6
"Dec 15, 2011",4,10
"Dec 19, 2011",4,6
"Dec 23, 2011",3,18
"Dec 27, 2011",3,9
"Dec 31, 2011",3,7
"Jan 1, 2012",3,7
"Jan 5, 2012",3,6
"Jan 9, 2012",3,5
"Jan 13, 2012",7,5
"Jan 17, 2012",3,5
"Jan 21, 2012",2,3
"Jan 25, 2012",2,2
"Jan 29, 2012",3,6
"Feb 2, 2012",3,7
"Feb 6, 2012",3,8
"Feb 10, 2012",7,10
"Feb 14, 2012",2,9
"Feb 18, 2012",3,7
"Feb 22, 2012",2,8
"Feb 26, 2012",1,7
"Mar 1, 2012",0,3
"Mar 5, 2012",5,7
"Mar 9, 2012",5,9
"Mar 13, 2012",5,5
"Mar 17, 2012",7,9
"Mar 21, 2012",7,7
"Mar 25, 2012",6,6
"Mar 29, 2012",9,7
"Apr 2, 2012",7,9
"Apr 6, 2012",6,10
"Apr 10, 2012",6,9
"Apr 14, 2012",7,8
"Apr 18, 2012",5,10
"Apr 22, 2012",8,9
"Apr 26, 2012",7,10
"Apr 30, 2012",7,9
"May 4, 2012",7,9
"May 8, 2012",5,8
"May 12, 2012",7,8
"May 16, 2012",5,7
"May 20, 2012",6,7
"May 24, 2012",5,7
"May 28, 2012",5,7
"Jun 1, 2012",5,7
"Jun 5, 2012",5,7
"Jun 9, 2012",4,5
"Jun 13, 2012",5,7
"Jun 17, 2012",5,5
"Jun 21, 2012",3,5
"Jun 25, 2012",3,3
"Jun 29, 2012",3,5
"Jul 3, 2012",4,3
