system:time_start,Yanco,Yanco_west,Yanco_east,Yanco_south,Yanco_north
"Jan 1, 2011",4,6,5,7,8
"Jan 5, 2011",3,7,5,5,8
"Jan 9, 2011",4,5,5,6,9
"Jan 13, 2011",5,6,5,12,8
"Jan 17, 2011",5,5,5,14,7
"Jan 21, 2011",6,6,6,12,8
"Jan 25, 2011",6,6,5,13,7
"Jan 29, 2011",5,5,5,13,7
"Feb 2, 2011",5,4,4,8,6
"Feb 6, 2011",5,5,6,11,8
"Feb 10, 2011",7,5,7,10,11
"Feb 14, 2011",9,5,9,5,10
"Feb 18, 2011",7,9,10,12,7
"Feb 22, 2011",10,7,11,9,10
"Feb 26, 2011",9,7,12,14,11
"Mar 2, 2011",10,8,13,13,10
"Mar 6, 2011",9,7,9,12,10
"Mar 10, 2011",11,10,14,13,11
"Mar 14, 2011",10,7,13,13,12
"Mar 18, 2011",10,8,14,11,9
"Mar 22, 2011",10,1,5,7,26
"Mar 26, 2011",11,9,14,9,11
"Mar 30, 2011",6,7,13,15,12
"Apr 3, 2011",9,3,13,7,12
"Apr 7, 2011",6,6,10,5,9
"Apr 11, 2011",6,7,7,3,3
"Apr 15, 2011",8,5,9,7,10
"Apr 19, 2011",7,3,8,3,3
"Apr 23, 2011",6,3,6,7,7
"Apr 27, 2011",5,5,7,5,10
"May 1, 2011",5,4,6,5,8
"May 5, 2011",5,3,6,7,9
"May 9, 2011",5,3,6,9,9
"May 13, 2011",5,3,6,6,10
"May 17, 2011",5,3,6,7,10
"May 21, 2011",4,2,5,11,7
"May 25, 2011",4,2,4,10,9
"May 29, 2011",4,2,4,10,10
"Jun 2, 2011",5,3,4,10,10
"Jun 6, 2011",4,1,5,8,10
"Jun 10, 2011",5,3,3,15,9
"Jun 14, 2011",5,2,4,15,8
"Jun 18, 2011",2,3,3,0,6
"Jun 22, 2011",5,3,3,13,8
"Jun 26, 2011",4,3,3,19,9
"Jun 30, 2011",4,3,3,17,10
"Jul 4, 2011",5,3,3,49,9
"Jul 8, 2011",3,3,3,14,10
"Jul 12, 2011",3,3,3,18,7
"Jul 16, 2011",2,3,3,15,8
"Jul 20, 2011",5,6,3,65,9
"Jul 24, 2011",4,6,3,27,7
"Jul 28, 2011",3,10,3,32,9
"Aug 1, 2011",4,10,3,37,7
"Aug 5, 2011",5,10,3,34,9
"Aug 9, 2011",5,15,4,65,7
"Aug 13, 2011",5,34,3,24,6
"Aug 17, 2011",5,17,3,64,6
"Aug 21, 2011",5,30,5,31,8
"Aug 25, 2011",5,24,6,47,8
"Aug 29, 2011",5,32,3,42,7
"Sep 2, 2011",5,39,5,24,8
"Sep 6, 2011",6,19,6,24,10
"Sep 10, 2011",6,19,7,20,11
"Sep 14, 2011",6,24,7,27,10
"Sep 18, 2011",6,18,7,29,10
"Sep 22, 2011",6,22,6,21,7
"Sep 26, 2011",5,24,7,20,8
"Sep 30, 2011",3,29,5,24,7
"Oct 4, 2011",4,19,6,15,7
"Oct 8, 2011",5,20,7,6,8
"Oct 12, 2011",7,20,9,31,10
"Oct 16, 2011",7,22,7,21,8
"Oct 20, 2011",7,19,10,19,7
"Oct 24, 2011",8,12,7,20,9
"Oct 28, 2011",6,14,7,11,7
"Nov 1, 2011",5,9,6,11,7
"Nov 5, 2011",5,7,5,7,6
"Nov 9, 2011",5,5,4,10,5
"Nov 13, 2011",3,3,5,6,7
"Nov 17, 2011",5,3,7,5,7
"Nov 21, 2011",4,3,5,5,6
"Nov 25, 2011",3,3,5,7,7
"Nov 29, 2011",5,3,5,7,7
"Dec 3, 2011",4,5,3,6,7
"Dec 7, 2011",3,5,3,6,4
"Dec 11, 2011",3,7,5,8,8
"Dec 15, 2011",4,7,3,6,5
"Dec 19, 2011",4,10,3,8,5
"Dec 23, 2011",3,7,4,8,6
"Dec 27, 2011",3,8,5,7,5
"Dec 31, 2011",3,9,5,6,6
"Jan 1, 2012",3,9,5,6,6
"Jan 5, 2012",3,9,4,4,5
"Jan 9, 2012",3,6,5,6,5
"Jan 13, 2012",7,5,4,5,5
"Jan 17, 2012",3,9,4,5,6
"Jan 21, 2012",2,4,4,3,10
"Jan 25, 2012",2,3,4,5,1
"Jan 29, 2012",3,3,4,5,5
"Feb 2, 2012",3,4,5,4,5
"Feb 6, 2012",3,3,4,3,5
"Feb 10, 2012",7,6,3,5,7
"Feb 14, 2012",2,4,3,4,4
"Feb 18, 2012",3,4,3,4,7
"Feb 22, 2012",2,4,3,4,6
"Feb 26, 2012",1,1,1,2,2
"Mar 1, 2012",0,7,1,4,70
"Mar 5, 2012",5,13,6,8,9
"Mar 9, 2012",5,9,7,9,8
"Mar 13, 2012",5,5,7,11,6
"Mar 17, 2012",7,10,9,12,10
"Mar 21, 2012",7,9,7,15,11
"Mar 25, 2012",6,6,12,15,10
"Mar 29, 2012",9,9,15,20,11
"Apr 2, 2012",7,11,14,16,8
"Apr 6, 2012",6,7,10,11,11
"Apr 10, 2012",6,5,17,14,7
"Apr 14, 2012",7,4,11,7,9
"Apr 18, 2012",5,3,12,9,7
"Apr 22, 2012",8,3,10,11,8
"Apr 26, 2012",7,3,10,11,9
"Apr 30, 2012",7,3,10,11,10
"May 4, 2012",7,3,9,9,7
"May 8, 2012",5,3,10,13,10
"May 12, 2012",7,3,9,10,8
"May 16, 2012",5,3,8,7,10
"May 20, 2012",6,3,8,8,7
"May 24, 2012",5,1,6,10,8
"May 28, 2012",5,3,8,10,8
"Jun 1, 2012",5,2,7,11,9
"Jun 5, 2012",5,2,7,10,11
"Jun 9, 2012",4,1,7,12,9
"Jun 13, 2012",5,4,5,13,8
"Jun 17, 2012",5,3,6,7,9
"Jun 21, 2012",3,1,5,10,8
"Jun 25, 2012",3,3,5,10,9
"Jun 29, 2012",3,4,5,5,7
"Jul 3, 2012",4,3,5,12,10
"Jul 7, 2012",3,3,4,11,6
"Jul 11, 2012",3,3,4,13,8
"Jul 15, 2012",3,6,6,14,8
"Jul 19, 2012",5,6,5,18,13
"Jul 23, 2012",3,6,3,19,8
"Jul 27, 2012",4,6,5,26,9
"Jul 31, 2012",4,10,5,18,8
"Aug 4, 2012",5,8,5,22,8
"Aug 8, 2012",5,7,5,25,7
"Aug 12, 2012",3,9,6,29,10
"Aug 16, 2012",4,10,5,30,8
"Aug 20, 2012",5,8,6,31,10
"Aug 24, 2012",5,10,5,38,9
"Aug 28, 2012",5,9,6,25,8
"Sep 1, 2012",4,14,5,41,8
"Sep 5, 2012",5,11,5,51,10
"Sep 9, 2012",5,11,4,36,10
"Sep 13, 2012",5,16,5,39,11
"Sep 17, 2012",3,10,5,48,10
"Sep 21, 2012",5,25,5,27,10
"Sep 25, 2012",3,25,4,26,10
"Sep 29, 2012",5,16,5,22,10
"Oct 3, 2012",3,17,4,27,10
"Oct 7, 2012",5,33,5,28,12
"Oct 11, 2012",4,13,3,26,11
"Oct 15, 2012",4,14,4,18,10
"Oct 19, 2012",3,13,4,24,10
"Oct 23, 2012",3,13,4,17,8
"Oct 27, 2012",3,14,3,13,7
"Oct 31, 2012",3,10,3,7,7
"Nov 4, 2012",3,7,2,8,5
"Nov 8, 2012",3,7,3,7,7
"Nov 12, 2012",3,4,3,5,6
"Nov 16, 2012",3,3,3,5,7
"Nov 20, 2012",3,3,3,4,4
"Nov 24, 2012",2,2,2,6,7
"Nov 28, 2012",3,3,2,5,7
"Dec 2, 2012",3,3,3,5,6
"Dec 6, 2012",2,3,2,4,6
